,STORYNUMBER,CODER,YEAR,PUBLICATIONDATE,URL,PUBLISHER,STORYTYPE,STORYTOPIC,STORYGENERICFRAMESDOMINANT,STORYGENERICFRAMESSECONDARY,STORYEMOTIONALFRAMES,STORYCONTAINSFALSESTATEMENT,STORYCLAIMSANOTHERSOURCEISFALSE,STORYFACTCHECKSTWEET,SENSATIONALISM,src_expert,src_opponent,src_otherpolitician,src_privatecitizen,src_media,src_other,NUMBEROFTWEETSBYCANDIDATES,NUMBEROFTWEETSFROMOTHERS,TWEETBY,TWEETPRESENTATION,TWEETGENERICFRAMESDOMINANT,TWEETGENERICFRAMESSECONDARY,TWEETEMOTIONALFRAMES,TWEETCONTAINSFALSESTATEMENT,TWEETCLAIMSSOMETHINGELSEISFALSE,TWEETTOPIC,TWEETROLETOTHESTORY,STORYROLETOTWEET,filter_$,SRC_TOTAL,PUBLISHERYEAR
139,111.0,2.0,2020,2020-10-12,https://www.foxnews.com/politics/trump-campaign-biden-rally-toledo-ohio,fox,soft news,attack,conflict,,negative,no,no,no,no,no,no,no,no,no,yes,2.0,0.0,trump,embedded_cited,conflict,,negative,yes,yes,attack,illustration,amplifies the tweet,Not Selected,1.0,fox2020
140,111.0,2.0,2020,2020-10-12,https://www.foxnews.com/politics/trump-campaign-biden-rally-toledo-ohio,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,conflict,,negative,no,no,attack,illustration,amplifies the tweet,Not Selected,0.0,fox2020
141,112.0,2.0,2020,2020-10-22,https://www.foxnews.com/politics/trump-chastises-leslie-stahl-on-pressing-him-for-tough-questions,fox,soft news,media,conflict,,negative,no,yes,no,yes,no,no,no,no,yes,yes,1.0,0.0,trump,paraphrased,conflict,,negative,no,no,attack,non-primary source,neutral,Not Selected,2.0,fox2020
142,113.0,2.0,2020,2020-10-12,https://www.foxnews.com/politics/trump-portland-protest-biden-fools-antifa-radicals-lincoln-roosevelt-statues-toppled,fox,soft news,attack,conflict,,negative,no,no,no,no,no,no,no,no,no,no,5.0,0.0,trump,embedded_cited,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
143,113.0,2.0,2020,2020-10-12,https://www.foxnews.com/politics/trump-portland-protest-biden-fools-antifa-radicals-lincoln-roosevelt-statues-toppled,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
144,113.0,2.0,2020,2020-10-12,https://www.foxnews.com/politics/trump-portland-protest-biden-fools-antifa-radicals-lincoln-roosevelt-statues-toppled,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
145,113.0,2.0,2020,2020-10-12,https://www.foxnews.com/politics/trump-portland-protest-biden-fools-antifa-radicals-lincoln-roosevelt-statues-toppled,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
146,113.0,2.0,2020,2020-10-12,https://www.foxnews.com/politics/trump-portland-protest-biden-fools-antifa-radicals-lincoln-roosevelt-statues-toppled,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
147,114.0,2.0,2020,2020-10-16,https://www.foxnews.com/politics/trump-susan-collins-amy-coney-barrett-confirmation,fox,soft news,policy issue,conflict,,negative,no,no,no,no,no,no,yes,no,no,yes,1.0,0.0,trump,embedded_cited,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,2.0,fox2020
148,114.0,2.0,2020,2020-10-17,https://www.foxnews.com/transcript/why-are-twitter-facebook-doing-bidding-of-the-biden-campaign,fox,editorial,media,conflict,,negative,no,yes,no,no,yes,no,no,no,yes,yes,1.0,1.0,trump,paraphrased,conflict,,negative,no,no,attack,non-primary source,neutral,Not Selected,3.0,fox2020
149,115.0,2.0,2020,2020-10-21,https://www.foxnews.com/us/fbi-holding-laptop-allegedly-containing-hunter-biden-business-emails-officials,fox,hard news,attack,conflict,,negative,no,no,no,no,yes,no,yes,no,no,yes,2.0,0.0,trump,cited,conflict,,negative,no,no,attack,illustration,neutral,Not Selected,3.0,fox2020
150,116.0,2.0,2020,2020-11-02,https://www.foxnews.com/media/twitter-censors-trumps-tweet-knocking-supreme-courts-pa-vote-facebook-also-cracks-down,fox,soft news,attack,conflict,,negative,no,yes,no,no,no,no,no,no,no,no,1.0,0.0,trump,embedded_cited,conflict,,negative,yes,no,attack,non-primary source,neutral,Not Selected,0.0,fox2020
151,117.0,2.0,2020,2020-11-02,https://www.foxnews.com/media/twitter-censors-trumps-tweet-knocking-supreme-courts-pa-vote-facebook-also-cracks-down,fox,soft news,media,conflict,,negative,no,no,no,no,no,no,no,no,no,yes,1.0,0.0,trump,embedded_cited,conflict,,negative,yes,no,attack,trigger,amplifies the tweet,Not Selected,1.0,fox2020
152,118.0,2.0,2020,2020-10-31,https://www.foxnews.com/world/american-hostage-rescued-west-africa-seal-team-6-daring-raid,fox,hard news,other,human interest,,positive,no,no,no,no,yes,no,no,no,no,yes,2.0,0.0,trump,embedded_cited,human interest,,positive,no,no,other,illustration,amplifies the tweet,Not Selected,2.0,fox2020
153,118.0,2.0,2020,2020-10-31,https://www.foxnews.com/world/american-hostage-rescued-west-africa-seal-team-6-daring-raid,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,human interest,,positive,no,no,other,illustration,amplifies the tweet,Not Selected,0.0,fox2020
154,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,soft news,attack,conflict,,negative,no,no,no,yes,yes,yes,yes,no,no,yes,13.0,5.0,trump,embedded_cited,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,3.0,fox2020
155,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,biden,embedded,conflict,economic,negative,no,no,policy issue,trigger,amplifies the tweet,Not Selected,0.0,fox2020
156,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
157,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
158,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,harris,embedded,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
159,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
160,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,biden,embedded,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
161,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
162,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,biden,embedded,morality,,positive,no,no,character traits,trigger,amplifies the tweet,Not Selected,0.0,fox2020
163,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,harris,embedded,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
164,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,biden,embedded,conflict,,negative,no,no,attack,trigger,amplifies the tweet,Not Selected,0.0,fox2020
165,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,biden,embedded,economic,,positive,no,no,policy issue,trigger,amplifies the tweet,Not Selected,0.0,fox2020
166,119.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-biden-issue-final-twitter-attacks,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,biden,embedded,conflict,responsibility,negative,no,no,policy issue,trigger,amplifies the tweet,Not Selected,0.0,fox2020
167,120.0,2.0,2020,2020-10-31,https://www.foxnews.com/politics/slamming-trump-coronavirus-plan-questions-biden-plan,fox,soft news,attack,conflict,,negative,no,no,no,no,no,no,no,no,no,yes,1.0,1.0,biden,embedded_cited,conflict,,negative,no,no,attack,trigger,ctiticizes the tweet,Not Selected,1.0,fox2020
168,121.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-defends-texas-drivers-who-surrounded-biden-bus-sees-car-rallies-in-ny-nj,fox,soft news,media,conflict,,negative,no,yes,yes,no,yes,no,no,no,yes,no,3.0,1.0,trump,embedded_cited,conflict,,negative,no,yes,media,trigger,amplifies the tweet,Not Selected,2.0,fox2020
169,121.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-defends-texas-drivers-who-surrounded-biden-bus-sees-car-rallies-in-ny-nj,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,conflict,,negative,no,no,other,trigger,amplifies the tweet,Not Selected,0.0,fox2020
170,121.0,2.0,2020,2020-11-02,https://www.foxnews.com/politics/trump-defends-texas-drivers-who-surrounded-biden-bus-sees-car-rallies-in-ny-nj,fox,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,embedded_cited,human interest,,positive,no,no,other,illustration,amplifies the tweet,Not Selected,0.0,fox2020
171,122.0,2.0,2020,2020-11-01,https://www.foxnews.com/tech/trump-reacts-after-facebook-removes-nj-women-for-trump-group-put-them-back-now,fox,soft news,media,conflict,,negative,no,no,no,no,no,no,no,yes,no,no,1.0,0.0,trump,embedded_cited,conflict,,negative,no,no,media,trigger,amplifies the tweet,Not Selected,1.0,fox2020
172,123.0,2.0,2020,2020-11-01,https://www.foxnews.com/us/trump-train-biden-campaign-bus-texas-highway-fbi,fox,soft news,campaign event or info,conflict,,negative,no,no,no,no,yes,no,no,no,no,yes,1.0,1.0,trump,embedded_cited,human interest,,positive,no,no,campaign event or info,illustration,neutral,Not Selected,2.0,fox2020
173,124.0,2.0,2020,2020-11-01,https://www.foxnews.com/media/liz-cheney-kamala-harris-communism,cnn,soft news,attack,conflict,economic,negative,no,no,no,no,no,no,yes,no,no,no,1.0,1.0,harris,embedded_cited,morality,economic,positive,no,no,policy issue,trigger,ctiticizes the tweet,Selected,1.0,cnn2020
174,125.0,2.0,2020,2020-11-01,https://www.foxnews.com/media/liz-cheney-kamala-harris-communism,cnn,soft news,attack,conflict,,negative,no,no,no,,no,no,yes,no,no,no,1.0,4.0,harris,embedded_cited,morality,economic,positive,no,no,policy issue,trigger,amplifies the tweet,Selected,1.0,cnn2020
175,126.0,2.0,2020,2020-11-03,https://www.foxnews.com/entertainment/rob-schneider-slams-kamala-harris-video-equality-socialistic-marxist-drivel,cnn,soft news,attack,conflict,,negative,no,no,no,,no,no,no,no,no,yes,1.0,4.0,harris,embedded_cited,morality,economic,positive,no,no,policy issue,trigger,amplifies the tweet,Selected,1.0,cnn2020
176,127.0,2.0,2020,2020-11-03,https://www.foxnews.com/media/trump-ymca-music-video,cnn,soft news,campaign event or info,human interest,,positive,no,no,no,yes,no,no,no,no,no,no,1.0,0.0,trump,embedded_paraphrased,human interest,,positive,no,no,campaign event or info,trigger,amplifies the tweet,Selected,0.0,cnn2020
177,128.0,2.0,2020,2020-10-31,https://www.foxnews.com/politics/obama-biden-first-joint-appearance-michigan,cnn,editorial,campaign event or info,conflict,,negative,no,no,no,no,no,yes,yes,no,no,yes,1.0,0.0,trump,embedded_cited,conflict,responsibility,negative,no,no,attack,illustration,neutral,Selected,2.0,cnn2020
178,129.0,2.0,2020,2020-10-27,https://www.foxnews.com/politics/georgia-texas-polls-biden-presidential-trump,fox,soft news,horserace,conflict,,negative,no,no,yes,no,yes,no,no,no,yes,yes,1.0,0.0,trump,embedded_cited,conflict,,negative,yes,no,horserace,illustration,neutral,Not Selected,3.0,fox2020
179,130.0,2.0,2020,2020-10-27,https://www.foxnews.com/politics/georgia-texas-polls-biden-presidential-trump,fox,soft news,policy issue,conflict,,negative,no,no,no,no,no,yes,yes,no,no,no,1.0,0.0,trump,cited,conflict,,negative,no,no,attack,non-primary source,neutral,Not Selected,1.0,fox2020
180,131.0,2.0,2020,2020-10-06,https://www.cnn.com/2020/10/06/business/airlines-donald-trump-stimulus-talks/index.html,cnn,soft news,policy issue,economic,conflict,negative,no,no,no,no,yes,no,no,no,no,yes,1.0,0.0,trump,cited_paraphrased,economic,,negative,no,no,policy issue,trigger,ctiticizes the tweet,Selected,2.0,cnn2020
181,132.0,2.0,2020,2020-10-01,https://www.cnn.com/2020/10/01/politics/donald-trump-debate-polls-joe-biden/index.html,cnn,editorial,horserace,conflict,,negative,no,yes,yes,no,yes,no,no,no,yes,no,2.0,0.0,trump,cited_linked,conflict,,positive,yes,no,horserace,trigger,ctiticizes the tweet,Selected,2.0,cnn2020
182,133.0,2.0,2020,2020-10-06,https://www.cnn.com/2020/10/06/health/flu-covid-19-deaths-comparison-trnd/index.html,cnn,editorial,covid,conflict,,negative,no,yes,yes,no,yes,no,no,no,no,no,1.0,0.0,trump,cited_linked,conflict,,negative,yes,no,covid,trigger,ctiticizes the tweet,Selected,1.0,cnn2020
183,134.0,2.0,2020,2020-10-16,https://www.cnn.com/2020/10/16/politics/afghanistan-robert-obrien-mark-milley/index.html,cnn,editorial,policy issue,conflict,,negative,no,no,no,no,yes,no,yes,no,no,no,1.0,1.0,trump,paraphrased_linked,morality,,positive,no,no,policy issue,illustration,ctiticizes the tweet,Selected,2.0,cnn2020
184,135.0,2.0,2020,2020-10-06,https://www.cnn.com/2020/10/06/opinions/trump-reckless-covid-costing-us-opinion-sachs/index.html,cnn,editorial,policy issue,responsibility,conflict,negative,no,no,no,no,yes,no,no,no,yes,no,1.0,0.0,trump,cited,human interest,,positive,yes,no,covid,illustration,ctiticizes the tweet,Selected,2.0,cnn2020
185,136.0,2.0,2020,2020-10-09,https://www.cnn.com/2020/10/09/politics/trump-gretchen-whitmer-law-and-order/index.html,cnn,editorial,policy issue,conflict,,negative,no,no,no,no,yes,no,yes,no,no,yes,1.0,0.0,trump,cited,conflict,,negative,no,no,attack,illustration,ctiticizes the tweet,Selected,3.0,cnn2020
186,137.0,2.0,2020,2020-10-02,https://www.cnn.com/2020/10/02/politics/president-donald-trump-coronavirus-positive-test/index.html,cnn,soft news,covid,responsibility,conflict,negative,no,no,no,no,no,no,no,no,no,yes,2.0,1.0,trump,cited_linked,human interest,,positive,no,no,covid,non-primary source,neutral,Selected,1.0,cnn2020
187,137.0,2.0,2020,2020-10-02,https://www.cnn.com/2020/10/02/politics/president-donald-trump-coronavirus-positive-test/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,biden,cited,human interest,,positive,no,no,covid,non-primary source,neutral,Selected,0.0,cnn2020
188,138.0,2.0,2020,2020-10-15,https://www.cnn.com/2020/10/15/investing/elizabeth-warren-insider-trading-investigation/index.html,cnn,soft news,scandal,responsibility,,negative,no,no,no,no,yes,no,yes,no,no,yes,1.0,0.0,trump,paraphrased_linked,economic,,positive,yes,no,covid,non-primary source,neutral,Selected,3.0,cnn2020
189,139.0,2.0,2020,2020-10-15,https://www.cnn.com/2020/10/15/media/steve-scully-cspan-suspended/index.html,cnn,soft news,media,conflict,,negative,no,yes,no,no,yes,no,no,no,yes,no,1.0,1.0,trump,cited,conflict,,negative,no,yes,media,illustration,neutral,Selected,2.0,cnn2020
190,140.0,2.0,2020,2020-10-15,https://www.cnn.com/2020/10/15/politics/donald-trump-osama-bin-laden-conspiracy-theory-fact-check/index.html,cnn,soft news,attack,conflict,,negative,no,yes,yes,no,yes,no,no,no,no,no,2.0,0.0,trump,cited_paraphrased,conflict,,negative,yes,no,attack,trigger,ctiticizes the tweet,Selected,1.0,cnn2020
191,140.0,2.0,2020,2020-10-15,https://www.cnn.com/2020/10/15/politics/donald-trump-osama-bin-laden-conspiracy-theory-fact-check/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,paraphrased_linked,conflict,,negative,yes,no,attack,trigger,ctiticizes the tweet,Selected,0.0,cnn2020
192,141.0,2.0,2020,2020-10-14,https://www.cnn.com/2020/10/14/politics/california-dropbox-controversy-explained/index.html,cnn,editorial,scandal,conflict,,negative,no,yes,yes,no,yes,no,no,no,no,yes,2.0,0.0,trump,paraphrased_linked,conflict,,negative,yes,no,other,illustration,ctiticizes the tweet,Selected,2.0,cnn2020
193,141.0,2.0,2020,2020-10-14,https://www.cnn.com/2020/10/14/politics/california-dropbox-controversy-explained/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,paraphrased_linked,conflict,,negative,yes,no,other,illustration,ctiticizes the tweet,Selected,0.0,cnn2020
194,142.0,2.0,2020,2020-10-14,https://www.cnn.com/politics/live-news/us-election-news-10-14-20/index.html,cnn,soft news,campaign event or info,responsibility,,negative,no,no,no,no,no,no,no,yes,no,no,1.0,0.0,biden,cited,morality,,positive,no,no,endorsement,non-primary source,neutral,Selected,1.0,cnn2020
195,143.0,2.0,2020,2020-10-14,https://www.cnn.com/2020/10/14/politics/voting-lines-election-coronavirus/index.html,cnn,editorial,campaign event or info,conflict,,negative,no,no,no,no,yes,yes,yes,no,no,yes,1.0,0.0,trump,paraphrased,conflict,,negative,no,no,attack,non-primary source,neutral,Selected,3.0,cnn2020
196,144.0,2.0,2020,2020-10-13,https://www.cnn.com/world/live-news/coronavirus-pandemic-10-13-20-intl/index.html,cnn,soft news,covid,conflict,,negative,no,no,no,no,yes,yes,no,no,no,no,1.0,0.0,trump,paraphrased,conflict,,negative,no,no,attack,non-primary source,neutral,Selected,1.0,cnn2020
197,145.0,2.0,2020,2020-10-13,https://www.cnn.com/2020/10/13/us/kidnap-plot-governor-michigan-virginia/index.html,cnn,hard news,other,conflict,responsibility,negative,no,no,no,no,yes,no,yes,no,no,yes,1.0,0.0,trump,cited_linked,conflict,,negative,no,no,attack,illustration,ctiticizes the tweet,Selected,3.0,cnn2020
198,146.0,2.0,2020,2020-10-13,https://www.cnn.com/2020/10/13/politics/trump-versus-fauci/index.html,cnn,soft news,covid,conflict,,negative,no,no,no,no,yes,yes,no,no,no,no,1.0,0.0,trump,cited_paraphrased,conflict,,negative,no,no,attack,trigger,ctiticizes the tweet,Selected,1.0,cnn2020
199,147.0,2.0,2020,2020-10-12,https://www.cnn.com/2020/10/12/world/coronavirus-newsletter-10-12-20-intl/index.html,cnn,soft news,covid,conflict,,negative,no,no,no,no,yes,no,no,no,no,yes,1.0,0.0,trump,paraphrased,human interest,,positive,yes,no,covid,non-primary source,neutral,Selected,2.0,cnn2020
200,148.0,2.0,2020,2020-10-11,https://www.cnn.com/2020/10/11/politics/schumer-affordable-care-act-amy-coney-barrett/index.html,cnn,editorial,policy issue,conflict,,negative,no,no,no,no,yes,no,yes,no,no,yes,1.0,0.0,harris,cited,responsibility,,positive,no,no,covid,non-primary source,neutral,Selected,3.0,cnn2020
201,149.0,2.0,2020,2020-10-11,https://www.cnn.com/world/live-news/coronavirus-pandemic-10-11-20-intl/index.html,cnn,hard news,covid,conflict,,negative,no,yes,yes,no,no,no,no,no,no,no,1.0,0.0,trump,cited,human interest,,positive,yes,no,covid,trigger,ctiticizes the tweet,Selected,0.0,cnn2020
202,150.0,2.0,2020,2020-10-12,https://www.cnn.com/2020/10/12/politics/donald-trump-coronavirus-election-2020-joe-biden/index.html,cnn,soft news,covid,conflict,,negative,no,yes,yes,no,yes,no,no,no,no,no,2.0,0.0,trump,cited,human interest,,positive,yes,no,covid,non-primary source,ctiticizes the tweet,Selected,1.0,cnn2020
203,150.0,2.0,2020,2020-10-12,https://www.cnn.com/2020/10/12/politics/donald-trump-coronavirus-election-2020-joe-biden/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,paraphrased,conflict,human interest,negative,no,no,covid,illustration,neutral,Selected,0.0,cnn2020
204,151.0,2.0,2020,2020-10-12,https://www.cnn.com/2020/10/12/world/coronavirus-newsletter-10-12-20-intl/index.html,cnn,soft news,covid,conflict,,negative,no,yes,yes,no,yes,no,no,no,no,no,1.0,0.0,trump,paraphrased,human interest,,positive,yes,no,covid,non-primary source,ctiticizes the tweet,Selected,1.0,cnn2020
205,152.0,2.0,2020,2020-10-10,https://www.cnn.com/2020/10/10/politics/donald-trump-covid-white-house-event/index.html,cnn,editorial,attack,conflict,responsibility,negative,no,yes,yes,no,yes,no,no,no,yes,yes,1.0,0.0,trump,paraphrased,conflict,,negative,no,no,attack,non-primary source,ctiticizes the tweet,Selected,3.0,cnn2020
206,153.0,2.0,2020,2020-10-09,https://www.cnn.com/2020/09/10/politics/supreme-court-trump-judiciary-rule-of-law/index.html,cnn,editorial,policy issue,conflict,,negative,no,no,no,no,yes,no,yes,no,yes,yes,2.0,1.0,trump,cited,conflict,,negative,no,no,policy issue,illustration,neutral,Selected,4.0,cnn2020
207,153.0,2.0,2020,2020-10-09,https://www.cnn.com/2020/09/10/politics/supreme-court-trump-judiciary-rule-of-law/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,cited_linked,conflict,,negative,no,no,policy issue,illustration,neutral,Selected,0.0,cnn2020
208,154.0,2.0,2020,2020-10-09,https://www.cnn.com/2020/10/09/perspectives/stimulus-package-economic-relief/index.html,cnn,editorial,policy issue,economic,conflict,negative,no,no,no,no,yes,no,no,no,no,yes,1.0,0.0,trump,paraphrased,economic,,negative,no,no,policy issue,non-primary source,neutral,Selected,2.0,cnn2020
209,155.0,2.0,2020,2020-10-09,https://www.cnn.com/2020/10/09/politics/donald-trump-health-coronavirus-election-2020/index.html,cnn,editorial,attack,conflict,,negative,no,no,no,no,yes,no,yes,no,yes,yes,1.0,0.0,trump,cited,economic,,negative,no,no,policy issue,non-primary source,neutral,Selected,4.0,cnn2020
210,156.0,2.0,2020,2020-10-09,https://www.cnn.com/2020/10/07/opinions/father-covid-19-death-trump-disrespect-pernell/index.html,cnn,editorial,covid,human interest,,positive,no,yes,yes,no,yes,no,no,yes,no,no,1.0,0.0,trump,paraphrased,human interest,,positive,yes,no,covid,trigger,ctiticizes the tweet,Selected,2.0,cnn2020
211,157.0,2.0,2020,2020-10-08,https://www.cnn.com/2020/10/08/us/nurse-reacts-to-trump-downplaying-covid-trnd/index.html,cnn,editorial,covid,human interest,conflict,negative,no,yes,yes,no,no,no,no,yes,no,no,1.0,0.0,trump,cited,human interest,,positive,yes,no,covid,trigger,ctiticizes the tweet,Selected,1.0,cnn2020
212,158.0,2.0,2020,2022-10-08,https://www.cnn.com/2020/10/08/politics/gretchen-whitmer-kidnapping-plot-cnntv/index.html,cnn,,attack,conflict,responsibility,negative,no,no,no,no,yes,no,yes,no,no,no,1.0,0.0,trump,cited_paraphrased,conflict,,negative,no,no,attack,trigger,ctiticizes the tweet,Selected,2.0,cnn2020
213,159.0,2.0,2020,2020-10-08,https://www.cnn.com/2020/10/08/politics/rick-bright-cnntv/index.html,cnn,editorial,covid,conflict,,negative,no,no,no,no,yes,no,no,no,no,no,1.0,0.0,trump,paraphrased,human interest,,positive,yes,no,covid,trigger,ctiticizes the tweet,Selected,1.0,cnn2020
214,160.0,2.0,2020,2020-10-07,https://www.cnn.com/world/live-news/hurricane-delta-update-10-07-20/index.html,cnn,soft news,other,human interest,,positive,no,no,no,no,no,no,no,no,no,no,1.0,0.0,trump,embedded_cited,human interest,,positive,no,no,other,trigger,neutral,Selected,0.0,cnn2020
215,161.0,2.0,2020,2020-10-07,https://www.cnn.com/2020/10/07/politics/stimulus-negotiations-latest/index.html,cnn,soft news,policy issue,economic,,negative,no,no,no,no,no,no,no,no,no,no,1.0,0.0,trump,paraphrased,economic,,negative,no,no,policy issue,trigger,ctiticizes the tweet,Selected,0.0,cnn2020
216,162.0,2.0,2020,2020-10-07,https://www.cnn.com/2020/10/07/politics/donald-trump-coronavirus/index.html,cnn,editorial,covid,conflict,,negative,no,no,no,no,yes,no,no,no,no,yes,3.0,0.0,trump,cited,conflict,,negative,no,no,policy issue,trigger,ctiticizes the tweet,Selected,2.0,cnn2020
217,162.0,2.0,2020,2020-10-07,https://www.cnn.com/2020/10/07/politics/donald-trump-coronavirus/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,cited,conflict,,negative,no,no,covid,trigger,neutral,Selected,0.0,cnn2020
218,162.0,2.0,2020,2020-10-07,https://www.cnn.com/2020/10/07/politics/donald-trump-coronavirus/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,cited,conflict,,negative,no,no,covid,trigger,neutral,Selected,0.0,cnn2020
219,163.0,2.0,2020,2020-10-07,https://www.cnn.com/2020/10/06/politics/stimulus-pelosi-trump-coronavirus/index.html,cnn,editorial,policy issue,economic,conflict,negative,no,no,no,no,yes,no,no,no,no,no,1.0,0.0,trump,cited_paraphrased,conflict,,negative,no,no,attack,illustration,neutral,Selected,1.0,cnn2020
220,164.0,2.0,2020,2020-10-07,https://www.cnn.com/2020/10/07/investing/global-stocks/index.html,cnn,soft news,policy issue,economic,conflict,negative,no,no,no,no,yes,no,no,no,no,no,3.0,0.0,trump,cited,economic,responsibility,negative,no,no,policy issue,trigger,neutral,Selected,1.0,cnn2020
221,164.0,2.0,2020,2020-10-07,https://www.cnn.com/2020/10/07/investing/global-stocks/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,cited,economic,,positive,no,no,policy issue,trigger,neutral,Selected,0.0,cnn2020
222,164.0,2.0,2020,2020-10-07,https://www.cnn.com/2020/10/07/investing/global-stocks/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,cited,economic,morality,positive,no,no,policy issue,trigger,neutral,Selected,0.0,cnn2020
223,165.0,2.0,2020,2020-10-06,https://www.cnn.com/politics/live-news/trump-covid-19-updates-tuesday/index.html,cnn,4.0,covid,conflict,,negative,no,no,no,no,no,no,no,no,no,yes,1.0,1.0,trump,embedded,human interest,,positive,yes,no,covid,trigger,ctiticizes the tweet,Selected,1.0,cnn2020
224,166.0,2.0,2020,2020-10-06,https://www.cnn.com/2020/10/06/politics/brennan-ratcliffe-declassifying-intelligence-clinton-russia/index.html,cnn,editorial,attack,conflict,,negative,no,yes,yes,no,yes,no,no,no,yes,yes,2.0,0.0,trump,cited_paraphrased,conflict,,negative,no,no,attack,trigger,ctiticizes the tweet,Selected,3.0,cnn2020
225,166.0,2.0,2020,2020-10-06,https://www.cnn.com/2020/10/06/politics/brennan-ratcliffe-declassifying-intelligence-clinton-russia/index.html,cnn,,,,,,,,,,no,no,no,no,no,no,,0.0,trump,paraphrased,conflict,,negative,no,no,policy issue,trigger,ctiticizes the tweet,Selected,0.0,cnn2020
